prefix,main-agent_id,main-agent_has_fingers,interloctr_id,interloctr_has_fingers
tst_2023_v0_000,4,finger_incl,5,finger_incl
tst_2023_v0_001,1,finger_incl,3,finger_incl
tst_2023_v0_002,1,finger_incl,6,finger_excl
tst_2023_v0_003,1,finger_incl,16,finger_excl
tst_2023_v0_004,4,finger_incl,15,finger_incl
tst_2023_v0_005,1,finger_incl,14,finger_incl
tst_2023_v0_006,1,finger_incl,16,finger_incl
tst_2023_v0_007,1,finger_incl,7,finger_incl
tst_2023_v0_008,1,finger_incl,3,finger_incl
tst_2023_v0_009,1,finger_incl,16,finger_excl
tst_2023_v0_010,11,finger_incl,10,finger_incl
tst_2023_v0_011,4,finger_incl,15,finger_excl
tst_2023_v0_012,1,finger_incl,12,finger_excl
tst_2023_v0_013,1,finger_incl,9,finger_excl
tst_2023_v0_014,1,finger_incl,8,finger_excl
tst_2023_v0_015,1,finger_incl,16,finger_incl
tst_2023_v0_016,1,finger_incl,16,finger_excl
tst_2023_v0_017,4,finger_incl,15,finger_excl
tst_2023_v0_018,1,finger_incl,8,finger_excl
tst_2023_v0_019,1,finger_incl,12,finger_excl
tst_2023_v0_020,11,finger_incl,10,finger_incl
tst_2023_v0_021,1,finger_incl,16,finger_excl
tst_2023_v0_022,1,finger_incl,16,finger_excl
tst_2023_v0_023,1,finger_incl,16,finger_incl
tst_2023_v0_024,11,finger_incl,10,finger_incl
tst_2023_v0_025,1,finger_incl,9,finger_incl
tst_2023_v0_026,1,finger_incl,17,finger_excl
tst_2023_v0_027,1,finger_incl,16,finger_incl
tst_2023_v0_028,1,finger_incl,2,finger_excl
tst_2023_v0_029,1,finger_incl,2,finger_excl
tst_2023_v0_030,1,finger_incl,17,finger_incl
tst_2023_v0_031,4,finger_incl,15,finger_excl
tst_2023_v0_032,1,finger_incl,3,finger_incl
tst_2023_v0_033,1,finger_incl,3,finger_excl
tst_2023_v0_034,4,finger_incl,5,finger_incl
tst_2023_v0_035,1,finger_incl,8,finger_excl
tst_2023_v0_036,1,finger_incl,8,finger_excl
tst_2023_v0_037,1,finger_incl,9,finger_incl
tst_2023_v0_038,1,finger_incl,2,finger_excl
tst_2023_v0_039,1,finger_incl,3,finger_excl
tst_2023_v0_040,1,finger_incl,17,finger_excl
tst_2023_v0_041,4,finger_incl,3,finger_incl
tst_2023_v0_042,1,finger_incl,6,finger_excl
tst_2023_v0_043,1,finger_incl,3,finger_incl
tst_2023_v0_044,1,finger_incl,10,finger_incl
tst_2023_v0_045,1,finger_incl,3,finger_excl
tst_2023_v0_046,1,finger_incl,14,finger_incl
tst_2023_v0_047,1,finger_incl,8,finger_excl
tst_2023_v0_048,1,finger_incl,5,finger_incl
tst_2023_v0_049,1,finger_incl,8,finger_excl
tst_2023_v0_050,1,finger_incl,2,finger_excl
tst_2023_v0_051,1,finger_incl,17,finger_incl
tst_2023_v0_052,1,finger_incl,16,finger_excl
tst_2023_v0_053,11,finger_incl,2,finger_excl
tst_2023_v0_054,1,finger_incl,16,finger_excl
tst_2023_v0_055,1,finger_incl,10,finger_incl
tst_2023_v0_056,1,finger_incl,5,finger_incl
tst_2023_v0_057,11,finger_incl,12,finger_excl
tst_2023_v0_058,1,finger_incl,2,finger_excl
tst_2023_v0_059,1,finger_incl,17,finger_excl
tst_2023_v0_060,1,finger_incl,8,finger_excl
tst_2023_v0_061,1,finger_incl,3,finger_incl
tst_2023_v0_062,4,finger_incl,9,finger_incl
tst_2023_v0_063,4,finger_incl,8,finger_excl
tst_2023_v0_064,1,finger_incl,9,finger_excl
tst_2023_v0_065,1,finger_incl,16,finger_incl
tst_2023_v0_066,1,finger_incl,3,finger_incl
tst_2023_v0_067,1,finger_incl,6,finger_excl
tst_2023_v0_068,1,finger_incl,3,finger_incl
tst_2023_v0_069,1,finger_incl,14,finger_incl
